"Symbol","US Trading Venue","Trading Date","OTC Tier","Caveat Emptor","Security Type","Security Class","Security Name","Country of Domicile","Company Name"
"CRMK","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","CERMETEK MICROELECTRONICS","USA","Cermetek Microelectronics, Inc."
"CRMWQ","OTC Link","27/10/2015","OTC Pink No Information","N","Warrants","","CRUMBS BAKE SHOP 16 WTS","USA","Crumbs Bake Shop, Inc."
"CRMZ","OTC Link","27/10/2015","OTCQX U.S. Premier","N","Common Stock","","CREDITRISKMONITOR.COM INC","USA","CreditRiskMonitor.com, Inc."
"CRNCY","OTC Link","27/10/2015","OTC Pink Current","N","American Depository Receipts","","CAIRN ENERGY UNSP/ADR","United Kingdom","Cairn Energy Plc"
"CRNSF","OTC Link","27/10/2015","OTC Pink No Information","N","Ordinary Shares","","CORONUS SOLAR INC ORD","Canada","Coronus Solar, Inc."
"CROL","OTC Link","27/10/2015","OTC Pink Current","N","Common Stock","","CARROLL BANCORP INC","USA","Carroll Bancorp, Inc."
"CRPB","OTC Link","27/10/2015","OTC Pink Current","N","Common Stock","","CALIFORNIA REPUBLIC BNCRP","USA","California Republic Bancorp"
"CRPE","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","COLUMBIAN ROPE CO","USA","Columbian Rope Co."
"CRPFY","OTC Link","27/10/2015","OTC Pink Current","N","American Depository Receipts","","CORPORACION FIN COL S/ADR","Colombia","Corporacion Financiera Colombiana S.A."
"CRPJY","OTC Link","27/10/2015","OTC Pink Current","N","American Depository Receipts","","CHINA RES PW HLD UNSP/ADR","Hong Kong","China Resources Power Holdings Co., Ltd."
"CRPL","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","CAROLYN RIVER PROJCTS LTD","Canada","Carolyn River Projects, Ltd."
"CRQDF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","CREDITO REAL SA DE CV ORD","Mexico","Credito Real SA De CV"
"CRQE","OTC Link","27/10/2015","OTC Pink Limited","N","Common Stock","","CIRQUE ENERGY INC","USA","Cirque Energy Inc."
"CRRDF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","CARDIFF ENERGY CORP ORD","Canada","Cardiff Energy Corp."
"CRRFY","OTC Link","27/10/2015","OTC Pink Current","N","American Depository Receipts","","CARREFOUR SA S/ADR","France","Carrefour S.A."
"CRRSQ","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","CORPORATE RESOURCE SVCS","USA","Corporate Resource Services, Inc."
"CRRWF","OTC Link","27/10/2015","OTC Pink No Information","N","Ordinary Shares","","CHINA HELI RES RENEWABLE","China","China Heli Resource Renewable Inc."
"CRSB","OTC Link","27/10/2015","OTC Pink Current","N","Common Stock","","CORNERSTONE COMUTY BANCRP","USA","Cornerstone Community Bancorp"
"CRSQ","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","CORPORATE RESTAURANT CNCP","USA","Corporate Restaurant Concepts, Inc."
"CRSWF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","CROSSWINDS HLDGS INC ORD","Canada","Crosswinds Hldgs Inc."
"CRTL","OTC Link","27/10/2015","OTC Pink Current","N","Common Stock","","CARTEL BLUE INC","USA","Cartel Blue, Inc."
"CRTSF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","CHRISTIAN HANSEN HLDG ORD","Denmark","Christian Hansen Holding A/S"
"CRUOF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","ROCKSHEILD CAP CORP ORD","Canada","Rockshield Capital Corp."
"CRVH","OTC Link","27/10/2015","OTC Pink No Information","Y","Common Stock","","CHILCO RIVER HLDGS INC","USA","Chilco River Holdings, Inc."
"CRVW","OTC Link/BB","27/10/2015","OTCQB","N","Common Stock","","CAREVIEW COMMUNS INC","USA","Careview Communications, Inc."
"CRVYF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","CANADIAN OIL RCVRY & REM","Canada","Canadian Oil Recovery & Remediation Enterprises Ltd."
"CRWE","OTC Link","27/10/2015","OTC Pink Limited","N","Common Stock","","CROWN EQUITY HLDGS INC","USA","Crown Equity Holdings, Inc."
"CRWFF","OTC Link","27/10/2015","OTC Pink Current","N","Fund","","CINRAM INTL INCM FD ORD","Canada","Cinram International Income Fund"
"CRWG","OTC Link","27/10/2015","OTCQB","N","Common Stock","","CROWDGATHER INC","USA","CrowdGather, Inc."
"CRWOY","OTC Link","27/10/2015","OTC Pink Current","N","American Depository Receipts","","CHINA RAILWAY GP UNSP/ADR","China","China Railway Group Ltd."
"CRWRY","OTC Link","27/10/2015","OTC Pink Current","N","American Depository Receipts","","CRANEWARE PLC S/ADR","United Kingdom","Craneware PLC"
"CRWTF","OTC Link","27/10/2015","OTC Pink No Information","N","Ordinary Shares","","CROW TECHS 1977 LTD","Israel","Crow Technologies 1997 Ltd."
"CRXIF","OTC Link","27/10/2015","OTC Pink Current","N","Fund","","CANADIAN RE INVST TR UTS","Canada","Canadian Real Estate Investment Trust"
